model,term,Estimate,Std. Error,z value,Pr(>|z|),vcov
by_region,region::Nordeste:mhw_days,-0.0120173737605963,0.00556479028366407,-2.15953758327144,0.0308084848456929,conley_200km
by_region,region::Norte:mhw_days,-0.0408731348787211,0.00539874163646379,-7.57086329204176,0.0000000000000370752058086307,conley_200km
by_region,region::Sudeste:mhw_days,-0.0107870561455682,0.00381529321920669,-2.8273203462488,0.00469393452178821,conley_200km
by_region,region::Sul:mhw_days,0.00412070816434717,0.00466780157792598,0.882794200986173,0.377347474252966,conley_200km
by_region,sst_anom,0.0898532860695198,0.0395699311931575,2.27074658358409,0.0231623232592318,conley_200km
by_gear,gear::drifting_longlines:mhw_days,-0.0126457352003002,0.00372017287762833,-3.39923321207643,0.000675750698166005,conley_200km
by_gear,gear::fishing:mhw_days,-0.0114376755411239,0.00418975575567154,-2.72991463181142,0.00633507280477971,conley_200km
by_gear,gear::other:mhw_days,-0.0106900493165221,0.0041617196812627,-2.56866154744921,0.0102092114229493,conley_200km
by_gear,gear::set_longlines:mhw_days,-0.00720663588598656,0.00759346084874794,-0.949058147468402,0.34259103904472,conley_200km
by_gear,gear::trawlers:mhw_days,-0.0102108672254537,0.0105399766485026,-0.968775127875099,0.332657398828099,conley_200km
by_gear,sst_anom,0.124970501535615,0.0410177678636291,3.04674066982635,0.00231337201249547,conley_200km
by_distance,far_coast::nearshore:mhw_days,-0.00742448015109755,0.0047015484974971,-1.57915634711628,0.114300199887803,conley_200km
by_distance,far_coast::offshore:mhw_days,-0.0239244487898724,0.00423816247933683,-5.64500509513642,0.0000000165176357061108,conley_200km
by_distance,sst_anom,0.116774725543821,0.0406265704826602,2.8743436661399,0.00404868151419251,conley_200km
