model,term,Estimate,Std. Error,z value,Pr(>|z|),vcov,horizon
ppml_leads_lags,"f(mhw_days, 3)",-0.00125128342145638,0.00233141384164562,-0.536705838794011,0.591470822250402,conley_200km,-3
ppml_leads_lags,"f(mhw_days, 2)",-0.00135196369058998,0.00255096733424146,-0.529980792949664,0.596125247786281,conley_200km,-2
ppml_leads_lags,"f(mhw_days, 1)",0.0000044199325080761,0.00211366709456741,0.0020911204604719,0.998331528485788,conley_200km,-1
ppml_leads_lags,"l(mhw_days, 0)",-0.00661923032572747,0.0022818887052622,-2.90076825853209,0.0037224906150668,conley_200km,0
ppml_leads_lags,"l(mhw_days, 1)",-0.0020512445258863,0.00253990052599021,-0.807608213351817,0.41931615706018,conley_200km,1
ppml_leads_lags,"l(mhw_days, 2)",-0.00649120384905608,0.00181529265397365,-3.57584427769645,0.000349099419357563,conley_200km,2
ppml_leads_lags,"l(mhw_days, 3)",0.00182633748341402,0.00250510322338973,0.729046797897113,0.465973036655079,conley_200km,3
ppml_leads_lags,"l(mhw_days, 4)",-0.00614493366496721,0.0024349697728116,-2.52361804798579,0.0116154054797587,conley_200km,4
ppml_leads_lags,"l(mhw_days, 5)",-0.00351497434885802,0.00195692411048928,-1.7961730503587,0.0724669993727885,conley_200km,5
ppml_leads_lags,"l(mhw_days, 6)",-0.00188681963468888,0.00184352759496951,-1.02348326102495,0.306079410322603,conley_200km,6
